##time cpu memory heapTotal heapUsed
6000 24.12 66.55 57.48 30.54
11000 0.20 66.55 57.48 30.57
16000 0.00 66.55 57.48 30.59
21000 0.00 66.55 57.48 30.61
26000 0.00 66.55 57.48 30.63
31000 0.20 66.55 57.48 30.64
36000 0.00 66.55 57.48 30.66
41000 0.00 66.55 57.48 30.68
46000 0.00 66.55 57.48 30.69
51000 0.20 66.55 57.48 30.71
56000 0.00 66.55 57.48 30.73
61000 0.00 66.55 57.48 30.75
66000 0.00 66.55 57.48 30.76
71000 0.00 66.55 57.48 30.78
76000 0.00 66.55 57.48 30.80
81000 0.20 66.55 57.48 30.81
86000 0.00 66.55 57.48 30.83
91000 1.20 67.35 57.48 33.55
96000 15.80 80.16 68.26 40.51
101000 15.60 81.46 69.24 36.25
106000 13.60 82.55 71.19 51.54
111000 3.40 86.16 75.13 43.82
116000 4.20 86.16 75.13 45.36
121000 3.60 86.16 75.13 46.66
126000 4.20 86.16 75.13 48.13
131000 4.00 86.16 75.13 49.52
136000 3.60 86.42 75.13 50.69
141000 3.60 86.68 75.13 51.90
146000 4.00 86.93 75.13 53.31
151000 4.20 87.19 75.13 54.73
156000 4.80 87.19 75.13 23.31
161000 3.40 87.45 75.13 25.15
166000 3.80 87.45 75.13 26.50
171000 4.20 87.45 75.13 27.92
176000 4.00 87.45 75.13 29.31
181000 3.59 87.45 75.13 30.60
186000 3.80 87.45 75.13 31.81
191000 3.40 87.45 75.13 32.97
196000 3.60 87.45 75.13 34.29
201000 4.00 87.45 75.13 35.72
206000 4.20 87.45 75.13 37.14
211000 3.60 87.45 75.13 38.37
216000 3.20 87.45 75.13 23.83
221000 4.20 87.45 75.13 25.27
226000 3.80 87.45 75.13 26.64
231000 3.80 87.45 75.13 27.97
236000 3.60 87.45 75.13 29.17
241000 3.20 87.45 75.13 30.30
246000 3.80 87.45 75.13 31.66
251000 4.00 87.45 75.13 32.99
256000 4.40 87.45 75.13 34.56
261000 3.80 87.71 75.13 35.81
266000 3.60 87.96 75.13 37.08
271000 3.80 88.22 75.13 38.50
276000 4.00 88.48 75.13 24.19
281000 4.00 88.48 75.13 25.66
286000 3.60 88.48 75.13 26.79
291000 3.40 88.48 75.13 27.90
296000 4.00 88.48 75.13 29.34
301000 3.60 88.48 75.13 30.67
306000 4.20 88.48 75.13 32.15
311000 3.60 88.48 75.13 33.28
316000 3.60 88.48 75.13 34.49
321000 3.80 88.48 75.13 35.87
326000 3.80 88.48 75.13 37.23
331000 4.60 88.48 75.13 38.81
336000 3.79 88.48 75.13 24.34
341000 3.61 88.74 75.13 25.53
346000 3.99 89.00 75.13 26.95
