##time cpu memory heapTotal heapUsed
8000 66.18 134.74 124.38 83.57
13000 0.00 134.74 124.38 83.61
18000 0.00 134.74 124.38 83.63
23000 0.20 134.74 124.38 83.65
28000 0.00 134.74 124.38 83.67
33000 0.00 134.74 124.38 83.69
38000 0.00 134.74 124.38 83.71
43000 0.20 134.74 124.38 83.73
48000 0.00 134.74 124.38 83.75
53000 0.00 134.74 124.38 83.78
58000 0.00 134.74 124.38 83.80
63000 0.20 134.74 124.38 83.82
68000 0.00 134.74 124.38 83.85
73000 0.00 134.74 124.38 83.87
78000 0.00 134.74 124.38 83.89
83000 0.00 134.74 124.38 83.91
88000 0.00 134.74 124.38 83.93
93000 46.50 181.35 170.57 135.42
99000 105.58 376.03 358.52 320.30
103000 13.08 387.20 368.33 340.24
108000 11.00 395.00 375.19 346.50
113000 9.40 402.11 383.02 348.37
118000 18.80 401.62 381.04 327.90
123000 10.60 403.16 383.01 346.45
128000 9.80 407.29 386.95 349.95
133000 9.80 411.67 391.87 354.15
138000 10.60 416.31 395.81 362.01
143000 9.80 422.75 402.68 370.52
148000 12.00 431.36 410.52 380.79
153000 9.00 438.77 417.38 382.53
158000 10.60 446.25 424.23 388.91
163000 11.00 454.48 432.07 396.58
168000 9.00 460.11 436.96 411.82
173000 10.80 467.84 443.81 417.78
178000 9.38 475.31 451.66 421.54
183000 9.40 482.59 458.52 424.50
188000 10.00 488.80 463.40 442.17
193000 10.00 496.67 471.24 447.41
198000 21.20 494.20 468.35 384.51
203000 9.20 494.20 468.35 387.36
208000 9.40 494.20 468.35 391.23
213000 10.20 494.45 468.35 397.50
218000 9.40 494.96 468.35 413.07
223000 9.60 498.06 471.30 416.41
228000 9.80 502.44 476.22 420.36
233000 9.60 507.60 480.15 425.05
238000 10.40 510.18 482.12 443.89
243000 9.20 514.30 487.04 446.56
248000 13.20 520.23 492.95 446.39
253000 16.80 525.13 496.89 456.57
258000 12.00 529.25 500.82 466.77
263000 9.40 533.64 504.76 470.78
268000 9.38 536.47 506.73 486.34
273000 11.00 544.60 514.56 494.52
278000 8.60 551.68 522.40 495.43
283000 10.80 560.17 529.26 503.12
288000 8.60 567.97 537.11 503.99
293000 23.75 567.32 536.14 432.76
298000 8.82 567.32 536.14 446.21
303000 10.20 567.58 536.14 451.74
308000 9.80 567.58 536.14 456.31
313000 10.00 568.87 536.14 461.88
318000 10.00 572.22 539.09 467.94
323000 12.40 575.83 544.01 478.18
328000 17.60 583.30 549.91 492.39
333000 12.40 590.52 557.79 506.84
338000 9.58 598.00 564.68 513.37
343000 10.60 602.64 568.61 520.64
348000 9.80 607.02 573.53 524.76
353000 10.40 611.92 577.47 530.67
358000 9.20 614.50 579.44 546.55
363000 10.40 619.66 584.36 553.32
368000 9.00 624.81 588.29 555.56
373000 11.20 629.97 592.23 563.94
378000 9.00 634.87 598.14 566.04
383000 8.80 639.61 602.05 580.25
388000 9.60 647.55 609.89 584.88
393000 26.80 649.98 611.88 514.11
398000 12.80 651.02 611.88 513.79
403000 14.20 651.02 611.88 529.98
408000 13.60 651.02 611.88 531.77
413000 9.60 651.27 611.88 535.18
418000 11.18 654.37 615.82 543.68
423000 9.00 656.69 617.78 557.62
428000 10.60 661.07 622.70 565.39
433000 9.60 665.45 626.64 569.83
438000 10.00 669.84 630.58 575.14
443000 10.40 674.22 635.50 581.36
448000 9.00 676.54 637.47 594.86
453000 10.20 680.92 641.40 600.83
458000 9.98 685.30 646.32 606.35
463000 10.20 690.20 650.26 612.79
468000 8.40 694.84 654.20 613.01
473000 15.80 698.45 658.13 633.69
478000 13.80 703.87 664.04 636.17
483000 11.60 707.48 666.99 644.40
488000 11.20 714.45 674.83 652.20
493000 9.38 722.11 681.68 655.24
498000 10.40 730.36 688.54 661.17
503000 10.00 739.29 697.36 666.32
508000 27.20 733.21 690.55 520.16
513000 10.20 733.21 690.55 527.61
518000 8.40 733.21 690.55 540.45
523000 10.60 733.21 690.55 547.27
528000 10.80 733.21 690.55 554.53
533000 10.00 733.21 690.55 560.09
538000 9.80 733.21 690.55 565.22
543000 9.40 733.21 690.55 569.24
548000 13.20 733.73 690.55 582.62
553000 16.17 733.73 690.55 591.12
558000 11.00 733.73 690.55 597.67
563000 11.80 733.98 690.55 608.06
568000 9.40 733.98 690.55 611.39
573000 9.80 733.98 690.55 615.70
578000 10.40 733.98 690.55 622.20
583000 10.60 733.98 690.55 629.58
588000 8.40 733.98 690.55 643.40
593000 11.00 734.24 690.55 655.51
598000 9.40 737.59 693.50 660.81
603000 10.80 744.30 700.39 670.21
608000 9.40 749.45 705.31 674.70
613000 10.00 756.33 712.17 679.90
618000 10.78 763.93 720.01 687.45
623000 29.82 761.93 718.10 514.33
628000 14.06 761.93 718.10 517.12
