##time cpu memory heapTotal heapUsed
7000 66.02 135.01 124.38 83.57
12000 0.20 135.01 124.38 83.61
17000 0.00 135.01 124.38 83.63
22000 0.00 135.01 124.38 83.65
27000 0.00 135.01 124.38 83.67
32000 0.00 135.01 124.38 83.69
37000 0.20 135.01 124.38 83.71
42000 0.00 135.01 124.38 83.74
47000 0.00 135.01 124.38 83.76
52000 0.00 135.01 124.38 83.78
57000 0.00 135.01 124.38 83.80
62000 0.00 135.01 124.38 83.83
67000 0.20 135.01 124.38 83.85
72000 0.00 135.01 124.38 83.87
77000 0.00 135.01 124.38 83.89
82000 0.00 135.01 124.38 83.91
87000 0.20 135.01 124.38 83.93
92000 44.62 182.64 170.57 127.52
98000 104.76 380.32 361.48 325.01
103000 100.19 560.34 537.60 490.26
108000 57.78 666.44 639.87 605.53
113000 32.80 671.28 643.76 588.34
118000 22.00 677.46 650.65 602.37
123000 22.40 687.26 659.51 616.42
128000 20.00 697.52 669.30 636.14
133000 20.40 712.57 684.00 645.91
138000 19.56 726.27 695.75 665.42
143000 23.00 743.09 711.41 686.15
148000 20.80 761.41 729.06 703.68
153000 20.00 777.37 743.76 713.25
158000 19.60 790.97 755.50 733.72
163000 20.40 806.96 770.20 743.76
168000 20.80 822.70 785.88 755.28
173000 18.96 835.82 797.63 773.17
178000 37.40 840.87 802.55 667.00
183000 21.60 841.12 802.55 685.03
188000 17.40 841.12 802.55 699.72
193000 19.56 841.12 802.55 720.10
198000 20.40 848.34 808.45 730.22
203000 19.40 855.30 814.36 749.54
208000 20.20 864.84 824.20 759.80
213000 20.00 879.02 838.96 774.70
218000 21.16 886.24 844.87 799.74
223000 19.00 896.04 853.72 805.96
228000 19.40 904.29 860.61 826.36
233000 20.40 914.08 869.47 837.83
238000 18.20 923.11 877.34 854.53
243000 20.60 937.61 891.07 866.00
248000 19.16 951.76 903.80 884.64
253000 45.69 955.00 906.80 762.18
258000 33.53 955.00 906.80 782.49
263000 27.60 955.26 906.80 796.22
268000 19.20 955.52 906.80 816.31
273000 21.20 961.71 913.69 828.78
278000 19.76 968.67 919.59 849.20
283000 19.00 977.43 928.45 855.77
288000 19.76 984.39 935.34 877.36
293000 19.24 993.42 943.21 884.49
298000 19.80 1000.89 951.08 904.71
303000 21.40 1011.21 959.94 917.85
308000 19.20 1021.52 968.80 925.11
313000 20.80 1029.51 974.70 949.66
318000 18.80 1040.08 985.53 955.97
323000 20.20 1053.63 998.26 978.54
328000 23.80 1071.68 1014.93 983.90
334000 52.40 1083.69 1024.81 861.91
339000 25.64 1083.69 1024.81 881.57
344000 22.20 1086.27 1027.76 900.72
349000 19.80 1088.59 1029.73 910.12
354000 19.60 1091.17 1030.72 929.92
359000 20.40 1091.68 1031.70 940.69
364000 19.60 1098.39 1039.57 961.40
369000 20.00 1109.21 1049.42 971.72
374000 19.76 1119.79 1060.24 996.44
379000 20.80 1130.36 1070.08 1008.73
384000 19.20 1137.57 1076.97 1027.97
389000 20.40 1146.60 1085.83 1037.99
394000 18.80 1153.82 1092.72 1056.05
399000 20.00 1162.32 1100.59 1064.35
404000 26.40 1172.89 1112.40 1077.88
409000 29.80 1187.55 1126.16 1099.21
414000 27.20 1205.68 1143.80 1114.49
419000 21.80 1221.76 1158.49 1128.11
424000 50.40 1226.55 1162.48 934.38
429000 19.80 1227.06 1162.48 945.60
434000 20.12 1227.06 1162.48 956.44
439000 19.24 1227.06 1162.48 976.34
444000 20.16 1227.06 1162.48 986.39
449000 20.00 1227.58 1162.48 1008.54
454000 19.80 1227.58 1162.48 1017.84
459000 20.60 1227.84 1162.48 1029.00
464000 20.40 1227.88 1162.48 1054.09
469000 19.20 1227.88 1162.48 1061.68
474000 22.20 1227.88 1162.48 1075.72
479000 22.60 1228.14 1162.48 1092.48
484000 28.14 1229.95 1164.44 1110.37
489000 31.00 1247.99 1182.16 1129.77
494000 20.60 1261.14 1193.97 1158.54
499000 19.00 1270.42 1203.81 1165.74
504000 20.40 1277.38 1210.70 1188.29
509000 19.00 1290.84 1224.42 1194.79
514000 20.40 1304.43 1238.13 1217.82
519000 49.80 1294.93 1228.40 925.47
524000 18.40 1294.93 1228.40 943.24
529000 20.80 1294.93 1228.40 955.59
534000 20.80 1294.93 1228.40 968.06
539000 19.16 1295.70 1228.40 988.47
544000 19.20 1295.70 1228.40 995.89
549000 21.20 1295.70 1228.40 1009.03
554000 23.40 1295.70 1228.40 1025.92
559000 25.60 1295.70 1228.40 1037.63
564000 31.34 1295.70 1228.40 1065.12
569000 20.60 1295.70 1228.40 1075.10
574000 20.00 1295.70 1228.40 1084.37
579000 20.00 1295.70 1228.40 1106.63
584000 18.00 1295.70 1228.40 1110.45
589000 20.20 1295.70 1228.40 1134.54
594000 19.40 1295.70 1228.40 1142.84
599000 20.60 1296.73 1229.37 1154.75
604000 19.80 1302.39 1235.21 1175.47
609000 19.80 1308.57 1240.07 1184.91
614000 48.22 1302.42 1234.25 926.08
619000 19.31 1302.42 1234.25 944.45
624000 21.80 1302.42 1234.25 959.62
629000 26.60 1302.42 1234.25 973.43
634000 23.60 1302.42 1234.25 991.41
639000 26.40 1302.93 1234.25 1004.11
644000 26.00 1302.93 1234.25 1017.11
649000 19.20 1303.19 1234.25 1036.04
654000 20.00 1303.19 1234.25 1045.61
659000 21.00 1303.19 1234.25 1058.82
664000 18.80 1303.19 1234.25 1078.67
669000 20.40 1303.19 1234.25 1090.76
674000 21.60 1303.19 1234.25 1104.55
679000 17.80 1303.19 1234.25 1119.48
684000 19.56 1303.19 1234.25 1140.92
689000 19.80 1303.19 1234.25 1149.85
694000 19.80 1303.45 1235.23 1158.99
699000 22.60 1304.99 1235.23 1175.62
704000 26.55 1309.92 1240.11 1202.33
709000 23.40 1316.93 1245.96 1206.76
714000 27.20 1325.55 1252.78 1221.34
719000 61.00 1314.10 1242.09 973.70
724000 18.40 1314.10 1242.09 990.57
729000 21.40 1314.10 1242.09 1004.64
734000 18.20 1314.10 1242.09 1021.61
739000 20.20 1314.61 1242.09 1031.63
744000 21.20 1314.61 1242.09 1044.71
749000 18.60 1314.61 1242.09 1062.73
754000 19.40 1314.61 1242.09 1083.31
759000 20.80 1314.87 1242.09 1098.02
764000 18.56 1314.87 1242.09 1104.67
769000 21.80 1314.87 1242.09 1119.24
774000 20.36 1314.87 1242.09 1142.50
779000 26.80 1315.13 1242.09 1158.01
784000 27.00 1315.13 1242.09 1178.05
789000 23.60 1316.67 1244.06 1199.23
794000 27.00 1329.30 1256.85 1217.08
799000 18.80 1337.30 1264.72 1236.12
804000 20.40 1346.32 1273.58 1246.33
809000 21.00 1360.74 1287.30 1258.89
814000 18.80 1372.92 1299.05 1276.62
819000 52.60 1365.39 1291.27 941.23
824000 18.76 1365.39 1291.27 959.63
829000 19.80 1365.39 1291.27 968.57
834000 18.80 1365.39 1291.27 987.53
839000 18.96 1365.39 1291.27 994.05
844000 17.20 1365.90 1291.27 1008.18
849000 15.20 1365.90 1291.27 1015.31
854000 14.60 1365.90 1291.27 1033.46
859000 13.00 1365.90 1291.27 1033.89
864000 10.20 1365.90 1291.27 1051.07
869000 12.40 1365.90 1291.27 1047.34
874000 9.60 1365.90 1291.27 1061.99
879000 8.20 1365.90 1291.27 1056.89
884000 4.60 1365.90 1291.27 1055.89
889000 1.80 1365.90 1291.27 1061.08
