##time cpu memory heapTotal heapUsed
841000 1.40 86.07 69.24 33.86
846000 1.60 86.07 69.24 34.49
851000 1.40 86.07 69.24 35.02
856000 1.00 86.07 69.24 35.31
861000 0.80 86.07 69.24 35.53
866000 0.40 86.07 69.24 35.71
871000 0.80 86.07 69.24 36.08
876000 0.40 86.07 69.24 36.25
881000 0.40 86.07 69.24 36.28
886000 0.00 86.07 69.24 36.31
891000 0.20 86.07 69.24 36.33
896000 0.20 86.07 69.24 36.54
901000 0.40 86.07 69.24 36.66
906000 0.00 86.07 69.24 36.67
911000 0.00 86.07 69.24 36.69
916000 0.00 86.07 69.24 36.71
921000 0.40 86.32 69.24 36.91
926000 0.40 86.32 69.24 37.04
931000 0.20 86.32 69.24 37.05
936000 0.00 86.32 69.24 37.07
941000 0.00 86.32 69.24 37.09
946000 0.40 86.32 69.24 37.30
951000 0.40 86.32 69.24 37.42
956000 0.00 86.32 69.24 37.44
961000 0.00 86.32 69.24 37.45
966000 0.00 86.32 69.24 37.47
971000 0.40 86.32 69.24 37.67
976000 0.20 86.58 69.24 37.80
981000 0.00 86.58 69.24 37.81
986000 0.80 86.84 69.24 39.77
991000 0.20 86.84 69.24 39.79
996000 0.00 86.84 69.24 39.81
1002000 0.00 86.84 69.24 39.83
1007000 0.20 86.84 69.24 39.85
1012000 0.00 86.84 69.24 39.86
1017000 0.00 86.84 69.24 24.39
1022000 0.20 86.84 69.24 24.41
1027000 0.00 86.84 69.24 24.43
1032000 0.00 86.84 69.24 24.44
1037000 0.00 86.84 69.24 24.46
1042000 0.00 86.84 69.24 24.48
1047000 0.20 86.84 69.24 24.49
1052000 0.00 86.84 69.24 24.51
1057000 0.00 86.84 69.24 24.53
