##time cpu memory heapTotal heapUsed
6000 24.35 68.53 57.48 30.54
11000 0.00 68.53 57.48 30.57
16000 0.00 68.53 57.48 30.59
21000 0.20 68.53 57.48 30.61
26000 0.00 68.53 57.48 30.63
31000 0.00 68.53 57.48 30.65
36000 0.00 68.53 57.48 30.66
41000 0.20 68.53 57.48 30.68
46000 0.00 68.53 57.48 30.70
51000 0.00 68.53 57.48 30.71
56000 0.20 68.53 57.48 30.73
61000 0.00 68.53 57.48 30.75
66000 0.00 68.53 57.48 30.76
71000 0.20 68.53 57.48 30.78
76000 0.00 68.53 57.48 30.80
81000 0.00 68.53 57.48 30.81
86000 0.00 68.53 57.48 30.83
91000 1.40 69.40 57.48 33.56
96000 15.20 81.55 68.26 38.09
101000 15.80 83.36 69.24 34.21
106000 15.40 87.86 74.14 44.96
111000 15.20 93.28 81.01 32.78
116000 9.00 93.54 81.01 40.09
121000 5.60 93.79 81.01 42.48
126000 5.60 94.05 81.01 44.70
131000 5.80 94.31 81.01 37.12
136000 4.80 94.82 81.01 39.02
141000 5.40 94.82 81.01 40.97
146000 5.00 94.82 81.01 42.81
151000 5.60 94.82 81.01 44.81
156000 5.60 95.08 81.01 46.76
161000 3.60 95.60 81.01 48.32
166000 5.40 95.86 81.01 36.85
171000 5.60 95.86 81.01 38.86
176000 5.40 95.86 81.01 40.76
181000 5.60 95.86 81.01 42.82
186000 5.20 95.86 81.01 44.63
191000 5.20 95.86 81.01 46.55
196000 5.20 96.11 81.01 48.52
201000 5.00 96.37 81.01 50.43
206000 5.60 96.89 81.01 36.80
211000 5.00 96.89 81.01 38.69
216000 5.00 96.89 81.01 40.54
221000 5.80 96.89 81.01 42.63
226000 5.40 96.89 81.01 44.61
231000 5.40 96.89 81.01 46.60
236000 4.80 96.89 81.01 48.40
241000 4.60 96.89 81.01 50.27
246000 5.60 96.89 81.01 36.53
251000 6.00 96.89 81.01 38.65
256000 4.80 96.89 81.01 40.50
261000 5.40 96.89 81.01 42.51
266000 5.80 96.89 81.01 44.65
271000 6.40 96.89 81.01 46.83
276000 5.00 96.89 81.01 48.63
281000 5.60 96.89 81.01 50.59
286000 5.40 97.14 81.01 36.84
291000 5.00 97.40 81.01 38.62
296000 5.80 97.66 81.01 40.60
301000 5.20 97.66 81.01 42.57
306000 4.20 97.66 81.01 44.05
311000 5.80 97.66 81.01 46.39
316000 5.20 97.66 81.01 48.27
321000 5.40 97.66 81.01 50.20
326000 5.40 96.11 81.01 36.52
331000 5.00 96.11 81.01 38.39
336000 5.80 96.11 81.01 40.50
341000 5.40 96.11 81.01 42.48
346000 5.60 96.11 81.01 44.76
351000 5.40 96.11 81.01 46.65
356000 5.60 96.11 81.01 48.62
361000 6.19 96.11 81.01 50.74
366000 5.00 96.36 81.01 36.78
371000 5.40 96.62 81.01 38.76
376000 5.20 96.88 81.01 40.75
381000 5.20 96.88 81.01 42.59
386000 5.80 96.88 81.01 44.70
391000 5.40 96.88 81.01 46.62
396000 4.60 96.88 81.01 48.27
401000 5.80 96.88 81.01 50.43
406000 5.40 96.88 81.01 36.64
411000 5.60 96.88 81.01 38.63
416000 6.00 96.88 81.01 40.90
421000 5.40 96.88 81.01 42.95
426000 5.00 96.88 81.01 44.87
431000 5.80 96.88 81.01 46.85
436000 5.00 96.88 81.01 48.83
441000 5.20 96.88 81.01 50.73
446000 5.40 96.88 81.01 36.93
451000 5.40 96.88 81.01 38.87
456000 5.40 96.88 81.01 40.78
461000 5.40 96.88 81.01 42.88
466000 4.80 96.88 81.01 44.60
471000 5.80 96.88 81.01 46.70
476000 5.40 96.88 81.01 48.59
481000 5.40 96.88 81.01 50.51
486000 4.00 96.88 81.01 36.25
491000 6.20 96.88 81.01 38.81
496000 5.20 96.88 81.01 40.80
501000 4.80 96.88 81.01 42.74
506000 5.60 96.88 81.01 44.85
511000 4.60 96.88 81.01 46.75
516000 5.00 96.88 81.01 48.70
521000 5.40 96.88 81.01 50.71
526000 5.59 96.88 81.01 36.92
531000 5.40 96.88 81.01 38.83
536000 4.80 97.05 81.01 40.80
541000 5.00 97.05 81.01 42.63
546000 5.60 97.05 81.01 44.67
551000 5.20 97.05 81.01 46.66
556000 5.20 97.05 81.01 48.46
561000 5.60 97.05 81.01 50.52
566000 5.40 97.05 81.01 36.84
571000 6.20 97.05 81.01 39.03
576000 5.20 97.05 81.01 41.09
581000 5.20 97.05 81.01 43.04
586000 4.60 97.05 81.01 44.84
591000 6.00 97.05 81.01 46.92
596000 4.60 97.05 81.01 48.63
601000 5.40 97.05 81.01 50.64
606000 5.80 97.57 81.01 36.94
611000 4.60 97.82 81.01 38.74
616000 5.40 97.82 81.01 40.72
621000 5.40 97.82 81.01 42.67
626000 5.40 97.82 81.01 44.68
631000 5.20 97.82 81.01 46.53
636000 5.20 97.82 81.01 48.54
641000 6.20 97.82 81.01 50.78
646000 5.40 96.28 81.01 36.96
651000 6.20 96.28 81.01 39.13
656000 5.60 96.28 81.01 41.10
661000 5.40 96.28 81.01 43.05
666000 5.19 96.28 81.01 44.98
671000 5.40 96.28 81.01 46.89
676000 5.60 96.28 81.01 48.94
681000 5.40 96.54 81.01 50.78
686000 4.20 96.79 81.01 36.46
691000 6.80 97.05 81.01 38.87
696000 5.00 97.05 81.01 40.68
701000 5.60 97.05 81.01 42.64
706000 5.60 97.05 81.01 44.56
711000 5.60 97.05 81.01 46.53
716000 5.40 97.05 81.01 48.59
721000 5.80 97.05 81.01 50.70
726000 6.00 97.05 81.01 37.10
731000 6.00 97.05 81.01 39.19
736000 5.20 97.05 81.01 41.00
741000 5.40 97.05 81.01 42.94
746000 5.20 97.05 81.01 44.93
751000 5.20 97.05 81.01 46.86
756000 5.60 97.05 81.01 48.85
761000 5.60 97.05 81.01 50.78
766000 5.60 97.05 81.01 37.06
771000 5.20 97.05 81.01 39.07
776000 5.00 97.05 81.01 40.98
781000 5.00 97.05 81.01 42.96
786000 5.00 97.05 81.01 44.89
791000 4.80 97.05 81.01 46.68
796000 6.40 97.05 81.01 49.03
801000 5.40 97.05 81.01 51.05
806000 4.80 97.57 81.01 37.28
811000 5.20 97.82 81.01 39.26
816000 5.40 97.82 81.01 41.27
821000 4.60 97.82 81.01 43.07
826000 5.80 97.82 81.01 45.14
831000 5.40 97.82 81.01 47.04
836000 5.00 97.82 81.01 48.96
841000 5.40 97.82 81.01 50.95
846000 5.20 96.28 81.01 37.07
851000 4.80 96.28 81.01 38.85
856000 4.80 96.28 81.01 40.54
861000 4.60 96.28 81.01 42.24
866000 4.00 96.28 81.01 43.58
871000 3.00 96.28 81.01 44.70
876000 2.80 96.28 81.01 45.60
881000 2.20 96.28 81.01 46.37
886000 1.40 96.28 81.01 46.87
891000 1.20 96.28 81.01 47.36
896000 0.80 96.28 81.01 47.68
901000 0.60 96.28 81.01 47.92
906000 0.40 96.28 81.01 48.09
911000 0.40 96.28 81.01 48.30
916000 0.60 96.28 81.01 48.50
921000 0.20 96.28 81.01 48.70
926000 0.60 96.28 81.01 48.92
931000 0.20 96.28 81.01 49.08
936000 0.60 96.28 81.01 49.27
941000 0.40 96.28 81.01 49.47
946000 0.40 96.28 81.01 49.67
951000 0.60 96.28 81.01 49.89
956000 0.20 96.28 81.01 50.04
961000 0.60 96.28 81.01 50.24
966000 0.40 96.28 81.01 50.43
971000 0.40 96.28 81.01 50.63
976000 0.40 96.28 81.01 50.85
981000 0.40 96.28 81.01 51.01
986000 0.60 96.54 81.01 51.20
991000 0.20 96.54 81.01 35.69
996000 0.60 96.54 81.01 35.89
1001000 0.20 96.54 81.01 36.11
1006000 2.40 96.54 81.01 41.64
1011000 0.00 96.54 81.01 41.66
1016000 0.20 96.54 81.01 41.67
1021000 0.00 96.54 81.01 41.69
1026000 0.00 96.54 81.01 41.71
1031000 0.00 96.54 81.01 41.72
1036000 0.20 96.54 81.01 41.74
1041000 0.00 96.54 81.01 41.76
1046000 0.00 96.54 81.01 41.78
1051000 0.20 96.54 81.01 41.79
1056000 0.00 96.54 81.01 41.81
1061000 0.00 96.54 81.01 41.83
1066000 0.20 96.54 81.01 41.84
1071000 0.00 96.54 81.01 41.86
1076000 0.00 96.54 81.01 41.88
1081000 0.00 96.54 81.01 41.89
1086000 0.00 96.54 81.01 41.91
