#client count    throughput 1    latency 1   throughput 2    latency 2   throughput 4    latency 4   throughput 8    latency 8   throughput 9    latency 9   throughput 10   latency 10  throughput 12   latency 12
100 1191    83  2368.43 38.52   4600.10 18.61   6526.96 9.34    NAN NAN 7163.48 10.46   NAN NAN
200 1118.8  177.39  2461.96 77.72   3663.91 40.15   5782.87 22.87   NAN NAN 7311.52 32.94   NAN NAN
400 1086.94 357.01  2368.46 158.41  4950.75 76.39   7729.47 34.21   NAN NAN 6642.90 40.97   NAN NAN
800 1066    747 2135.91 344.39  4632.36 156.70  8215.69 95.71   NAN NAN 7001.16 105.6   NAN NAN
1000    1056    942.7   2193.49 414.61  4163.18 200.96  7371.93 118.94  NAN NAN 7093.85 139.22  NAN NAN
                                                        
                                                        
